cod_cns;valor;calorPago;mensagem;nossoNumero;dataVenc;status
19.21-6;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000595;16/02/2017;0
16.14-7;70.00;0.00;Contribuição ref. Janeiro de 2017;10000000596;16/02/2017;0
16.12-1;70.00;0.00;Contribuição ref. Janeiro de 2017;10000000597;16/02/2017;0
20.07-3;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000598;16/02/2017;0
19.96-8;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000599;16/02/2017;1
19.53-9;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000600;16/02/2017;0
19.25-7;70.00;0.00;Contribuição ref. Janeiro de 2017;10000000601;16/02/2017;1
150.00-3;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000602;16/02/2017;0
28.34-0;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000603;16/02/2017;1
16.15-4;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000604;16/02/2017;1
163.78-2;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000605;16/02/2017;1
17.64-0;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000606;16/02/2017;0
19.67-9;70.00;0.00;Contribuição ref. Janeiro de 2017;10000000607;16/02/2017;0
16.21-2;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000608;16/02/2017;1
17.66-5;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000609;16/02/2017;0
17.70-7;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000610;16/02/2017;1
16.24-6;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000611;16/02/2017;1
17.69-9;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000612;16/02/2017;0
19.85-1;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000613;16/02/2017;0
19.34-9;70.00;0.00;Contribuição ref. Janeiro de 2017;10000000614;16/02/2017;0
20.05-7;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000615;16/02/2017;1
137.84-4;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000616;16/02/2017;0
19.56-2;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000617;16/02/2017;1
20.12-3;50.00;50.00;Contribuição ref. Janeiro de 2017;10000000618;16/02/2017;1
17.87-1;70.00;70.00;Contribuição ref. Janeiro de 2017;10000000619;16/02/2017;1
137.93-5;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000620;16/02/2017;0
20.84-2;50.00;0.00;Contribuição ref. Janeiro de 2017;10000000621;16/02/2017;0
