entrancia_id;regioes_id;contrib_id;tabeliao_id;substituto_id;cnpj;naoCNPJ;cei;codTJ;codCNJ;;nome;nomeFantasia;nomeResumido;endCep;arrAtividades;endNumero;endCidade;telefone1;telefone2;telefone2_whatsapp;email;endLogradouro;endBairro;formaCobranca;ativo;altUsuario;cadAnalise;encontradoTJ;emAcordo;retencaoTJ;pgRetencaoTJ
20;19;1;1;;12.465.800/0000-00;1;;158002;16.54-3;;CARTÓRIO DE NOTAS E REGISTRO CIVIL;ABAIARA - CARTÓRIO DE NOTAS E REGISTRO CIVIL;ABAIARA - CARTÓRIO DE NOTAS E REGISTRO CIVIL;21;21;596;2300101;(88) 3558-1520;;0;cartoriolucena@hotmail.com;RUA JOSÉ LEITE MARTINS;CENTRO;2;Sim;11;0;1;0;1;1
20;23;1;2;;2.661.940/0000-00;1;;162004;16.53-5;;NOTAS E REGISTRO PÚBLICO DE ACARAPE;ACARAPE - CARTÓRIO LOPES ROCHA;ACARAPE - CARTÓRIO LOPES ROCHA;21;21;374;2300150;(85) 3373-1255;(85) 9 9779-6330;0;cartorioacarape@gmail.com;RUA JOSÉ CRISTINO;CEBTRO;2;Sim;9;0;1;0;1;1
20;24;1;3;;6.595.620/0000-00;1;;32011;15.96-6;;CARTÓRIO 1 OFICIO DE REGISTRO CIVIL E DE NOTAS;ACARAÚ - CARTÓRIO 1o. OFÍCIO - CARTÓRIO HONORATA;ACARAÚ - CARTÓRIO 1o. OFÍCIO - CARTÓRIO HONORATA;27;27;90;2300200;(88) 2140-0011;(88) 9 9841-1260;0;cartoriohonorata@hotmail.com;RUA EXPEDITO FARIAS;CENTRO;2;Sim;11;0;1;0;1;1
20;24;7;4;;6.595.610/0000-00;1;;32012;19.23-2;;CARTÓRIO DO 2º OFÍCIO REGISTRO DE IMÓVEIS;ACARAÚ - CARTÓRIO 2º OFÍCIO REG. IMÓVEIS;ACARAÚ - CARTÓRIO 2º OFÍCIO REG. IMÓVEIS;25;25;;2300200;(88) 3661-1318;;0;cartorio2acarau@hotmail.com;AV. JOÃO JAIME FERREIRA GOMES;CENTRO;2;Sim;11;0;1;0;0;1
20;24;1;5;;7.664.580/0000-00;1;;32013;16.87-3;;CARTORIO REGISTRO CIVIL DIST. DE ARANAÚ;ACARAÚ - CARTÓRIO REGISTRO CIVIL DIST. DE ARANAÚ - MEDEIROS;ACARAÚ - CARTÓRIO REGISTRO CIVIL DIST. DE ARANAÚ - MEDEIROS;29;29;41;2300200;(88) 3674-1016;(88) 9 8171-8236;0;mariavilanidemedeirosfernandes@yahoo.com.br;RUA DAMIANA MARIA BRANDÃO;ARANAÚ;2;Sim;11;0;1;0;1;1
31;30;7;6;;2.788.560/0000-00;1;;1014;17.92-1;;CARTÓRIO DO 3º OFÍCIO REG. IMÓVEIS;ACOPIARA - CARTÓRIO 3º OFÍCIO REG. IMÓVEIS - PEREIRA CABRAL;ACOPIARA - CARTÓRIO 3º OFÍCIO REG. IMÓVEIS - PEREIRA CABRAL;25;25;40;2300309;(88) 3565-0776;(88) 9 9641-1444;0;cartoriopereiracabral@gmail.com;AV PAULINO FELIX;CENTRO;2;Sim;11;0;1;0;0;1
31;30;1;628;;36.754.200/0000-00;1;;1011;17.37-6;;CARTÓRIO DO 1º OFÍCIO REGISTRO CIVIL;ACOPIARA - CARTÓRIO DO 1º OFÍCIO DE ACOPIARA;ACOPIARA - CARTÓRIO DO 1º OFÍCIO DE ACOPIARA;27;27;182 B;2300309;(88) 2152-0141;(88) 9 9841-8200;0;cartorioacopiara@yahoo.com.br;RUA MARECHAL DEODORO;CENTRO;2;Sim;11;0;1;0;1;0
31;30;6;664;;5.717.000/0000-00;1;;1012;19.63-8;;CARTÓRIO DO 2º OFÍCIO REGISTRO DE IMÓVEIS;ACOPIARA - CARTÓRIO DO 2º OFÍCIO REGISTRO DE IMÓVEIS - CARTÓRIO MANOEL JOSÉ;ACOPIARA - CARTÓRIO DO 2º OFÍCIO REGISTRO DE IMÓVEIS - CARTÓRIO MANOEL JOSÉ;25;25;;2300309;(88) 3565-0067;;0;2oficioacopiara@gmail.com;RUA TABELIÃ MARIA NILCE MARQUES;CENTRO;2;Sim;11;0;1;0;0;1
31;30;1;9;;9.549.340/0000-00;1;;1018;17.06-1;;CARTÓRIO REGISTRO CIVIL DIST. EBRON;ACOPIARA - CARTÓRIO DO REGISTRO CIVIL DISTRITO DE EBRON;ACOPIARA - CARTÓRIO DO REGISTRO CIVIL DISTRITO DE EBRON;29;29;;2300309;(88) 9737-4090;(88) 8833-6510;0;lourex.mara@hotmail.com;VILA EBRON;SEDE DO DIST. DE EBRON;2;Sim;9;0;1;0;1;1
31;30;1;10;;9.549.330/0000-00;1;;1017;136.60-6;;CARTÓRIO REGISTRO CIVIL DE DIST. DE STA. FELÍCIA;ACOPIARA - CARTÓRIO REGISTRO CIVIL DE DIST. DE STA. FELÍCIA - CARTÓRIO UCHOA;ACOPIARA - CARTÓRIO REGISTRO CIVIL DE DIST. DE STA. FELÍCIA - CARTÓRIO UCHOA;29;29;;2300309;(88) 9 9973-7243;(88) 9 9773-7243;0;josecartorioumari@gmail.com;RUA NOSSA SENHORA DO CARMO;SANTA FELÍCIA;2;Sim;9;0;1;0;1;1
31;30;1;665;;3.191.190/0000-00;1;;1013;17.16-0;;CARTORIO REGISTRO CIVIL DIST. DE TRUSSU;ACOPIARA - CARTORIO REGISTRO CIVIL DIST. DE TRUSSU - CARTÓRIO HOLANDA;ACOPIARA - CARTORIO REGISTRO CIVIL DIST. DE TRUSSU - CARTÓRIO HOLANDA;29;29;;2300309;(88) 3565-0663;;0;cartoriodaniellasarmento@hotmail.com;RUA SOLON GUEDES CAVALCANTE,S/N;VILA TRAVESSA;2;Sim;11;0;1;0;1;1
31;30;1;12;;41.365.900/0000-00;1;;1015;17.20-2;;CARTORIO REGISTRO CIVIL DIST. QUINCUÊ;ACOPIARA - CARTORIO REGISTRO CIVIL DIST. QUINCUÊ - CARTÓRIO QUINCOÊ;ACOPIARA - CARTORIO REGISTRO CIVIL DIST. QUINCUÊ - CARTÓRIO QUINCOÊ;29;29;;2300309;(88) 9 9330-2799;(88) 9 9619-9005;0;elaine10lima@yahoo.com.br;RUA 15 DE NOVEMBRO;ZONA RURAL;2;Sim;9;0;1;0;1;1
31;30;1;13;;9.549.330/0000-00;1;;1016;17.14-5;;CARTÓRIO REGISTRO CIVIL DIST. STO. ANTÔNIO;ACOPIARA - CARTÓRIO REGISTRO CIVIL DIST. STO. ANTÔNIO;ACOPIARA - CARTÓRIO REGISTRO CIVIL DIST. STO. ANTÔNIO;29;29;;2300309;(88) 3565-0128;;0;carlospianco@yahoo.com.br;RUA MONSENHOR SENHOR COUTO;CENTRO;2;Sim;11;0;1;0;1;1
