valor;ano;dataAtualizacao;cod_cns
957.08;01/05/2021;16/12/2021 00:00;20.75-0
298.38;01/05/2021;16/12/2021 00:00;18.27-5
1625.85;01/05/2021;16/12/2021 00:00;20.37-0
1480.17;01/05/2021;16/12/2021 00:00;18.76-2
33.98;01/05/2021;16/12/2021 00:00;17.16-0
32.84;01/05/2021;16/12/2021 00:00;17.20-2
32.84;01/05/2021;16/12/2021 00:00;17.14-5
32.84;01/05/2021;16/12/2021 00:00;136.60-6
32.84;01/05/2021;16/12/2021 00:00;17.06-1
158.58;01/05/2021;16/12/2021 00:00;15.79-2
37.34;01/05/2021;16/12/2021 00:00;15.48-7
21.89;01/05/2021;16/12/2021 00:00;17.08-7
105.38;01/05/2021;16/12/2021 00:00;17.44-2
32.84;01/05/2021;16/12/2021 00:00;19.05-9
279.67;01/05/2021;16/12/2021 00:00;19.59-6
32.84;01/05/2021;16/12/2021 00:00;17.26-9
48.26;01/05/2021;16/12/2021 00:00;135.55-8
32.84;01/05/2021;16/12/2021 00:00;19.98-4
113.09;01/05/2021;16/12/2021 00:00;
32.84;01/05/2021;16/12/2021 00:00;137.74-5
32.84;01/05/2021;16/12/2021 00:00;
39.65;01/05/2021;16/12/2021 00:00;135.62-4
32.84;01/05/2021;16/12/2021 00:00;
35.66;01/05/2021;16/12/2021 00:00;137.86-9
33.98;01/05/2021;16/12/2021 00:00;
75.27;01/05/2021;16/08/2021 00:00;18.30-9
306.12;01/05/2021;16/12/2021 00:00;17.93-9
52.66;01/05/2021;16/12/2021 00:00;17.19-4
62.11;01/05/2021;16/12/2021 00:00;19.01-8
46.99;01/05/2021;16/12/2021 00:00;18.53-1
32.84;01/05/2021;16/12/2021 00:00;135.69-9
32.84;01/05/2021;16/12/2021 00:00;135.70-7
39.02;01/05/2021;16/12/2021 00:00;17.09-5
52.99;01/05/2021;16/08/2021 00:00;17.11-1
32.84;01/05/2021;16/12/2021 00:00;18.42-4
32.84;01/05/2021;16/12/2021 00:00;18.62-2
38.81;01/05/2021;16/12/2021 00:00;18.68-9
32.84;01/05/2021;16/12/2021 00:00;18.32-5
119.86;01/05/2021;16/12/2021 00:00;18.22-6
32.84;01/05/2021;16/12/2021 00:00;16.76-6
48.89;01/05/2021;16/12/2021 00:00;11.01-5
39.65;01/05/2021;16/12/2021 00:00;17.18-6
289.32;01/05/2021;16/12/2021 00:00;18.07-7
32.84;01/05/2021;16/12/2021 00:00;16.28-7
32.84;01/05/2021;16/12/2021 00:00;18.81-2
32.84;01/05/2021;16/12/2021 00:00;
32.84;01/05/2021;16/12/2021 00:00;15.85-9
163.75;01/05/2021;16/12/2021 00:00;20.45-3
32.84;01/05/2021;16/12/2021 00:00;18.34-1
32.84;01/05/2021;16/12/2021 00:00;137.90-1
47.83;01/05/2021;16/12/2021 00:00;16.42-8
256.56;01/05/2021;16/12/2021 00:00;15.91-7
61.79;01/05/2021;16/08/2021 00:00;135.82-2
68.42;01/05/2021;16/12/2021 00:00;17.21-0
104.70;01/05/2021;16/12/2021 00:00;18.60-6
